## Summury
〔bg=#C6E0B4,b〕Date	〔bg=#C6E0B4,b〕Line	〔bg=#C6E0B4,b〕VP mold	〔bg=#C6E0B4,b〕IR	〔bg=#C6E0B4,b〕Lot date	〔bg=#C6E0B4,b〕Sub 1-Laser cutting VP				〔bg=#C6E0B4,b〕Vision VP+CD 		〔bg=#C6E0B4,b〕Total NG sub 1	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate sub 1	〔bg=#C6E0B4,b〕Input	〔bg=#C6E0B4,b〕Air leak	〔bg=#C6E0B4,b〕Sigma			〔bg=#C6E0B4,b〕Hearing		〔bg=#C6E0B4,b〕Total NG function	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate function	
					〔b〕Input	〔b〕VP/CD separate	〔bg=#FFFF00,b〕VP bending check by VP ass'y guige	〔bg=#FFFF00,fg=#FF0000,b〕Bending rate	〔b〕VP+CD separate	〔fg=#FF0000,b〕VP+CD separate  Rate					〔b〕SPL	〔b〕THD	〔b〕SPL+THD	〔b〕Noise	〔b〕Touch			
		〔bg=#FFFF00〕VP #10	〔bg=#FFFF00〕 IR250526023	〔bg=#FFFF00〕16/4	〔bg=#FFFF00〕594	〔bg=#FFFF00〕0	〔bg=#FFFF00〕7	〔bg=#FFFF00,fg=#FF0000〕1.2%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕7	〔bg=#FFFF00,fg=#FF0000〕1.2%	〔bg=#FFFF00〕594	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕48	〔bg=#FFFF00〕0	〔bg=#FFFF00〕48	〔bg=#FFFF00,fg=#FF0000〕8.1%	
		〔bg=#FFFF00〕VP #11	〔bg=#FFFF00〕 IR250526023	〔bg=#FFFF00〕16/4	〔bg=#FFFF00〕572	〔bg=#FFFF00〕0	〔bg=#FFFF00〕6	〔bg=#FFFF00,fg=#FF0000〕1.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕6	〔bg=#FFFF00,fg=#FF0000〕1.0%	〔bg=#FFFF00〕572	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕33	〔bg=#FFFF00〕7	〔bg=#FFFF00〕41	〔bg=#FFFF00,fg=#FF0000〕7.2%	
		〔bg=#FFFF00〕VP #12	〔bg=#FFFF00〕 IR250526023	〔bg=#FFFF00〕16/4	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕7	〔bg=#FFFF00,fg=#FF0000〕1.2%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕7	〔bg=#FFFF00,fg=#FF0000〕1.2%	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕1	〔bg=#FFFF00〕30	〔bg=#FFFF00〕5	〔bg=#FFFF00〕37	〔bg=#FFFF00,fg=#FF0000〕6.2%	
6/3/2025	E2-3A	VP #2	IR250513033	26/05	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	581	0	0	1	1	7	3	12	〔fg=#FF0000〕2.1%	
		VP #3	IR250513033	26/05	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	587	0	0	1	0	5	2	8	〔fg=#FF0000〕1.4%	
		VP #5	IR250513033	26/05	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	580	1	0	0	0	7	1	9	〔fg=#FF0000〕1.6%	
		VP #6	IR250513033	26/05	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	573	0	0	1	1	1	7	10	〔fg=#FF0000〕1.7%	
		VP #7	IR250513033	26/05	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	589	0	0	0	2	2	8	12	〔fg=#FF0000〕2.0%	
		〔bg=#FFFF00〕VP #10	〔bg=#FFFF00〕IR250513033	〔bg=#FFFF00〕26/05	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕1	〔bg=#FFFF00,fg=#FF0000〕0.2%	〔bg=#FFFF00〕567	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕4	〔bg=#FFFF00〕9	〔bg=#FFFF00〕7	〔bg=#FFFF00〕20	〔bg=#FFFF00,fg=#FF0000〕3.5%	NG function Hight 
		〔bg=#FFFF00〕VP #11	〔bg=#FFFF00〕IR250513033	〔bg=#FFFF00〕26/05	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕2	〔bg=#FFFF00,fg=#FF0000〕0.3%	〔bg=#FFFF00〕534	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕15	〔bg=#FFFF00〕6	〔bg=#FFFF00〕21	〔bg=#FFFF00,fg=#FF0000〕3.9%	NG function Hight 
6/19/2025	E2-3A	VP #2	IR250616001	16/6	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	563	1	0	1	1	8	0	11	〔fg=#FF0000〕2.0%	
		VP #7	IR250616001	16/6	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	593	0	0	2	0	2	0	4	〔fg=#FF0000〕0.7%	NG Sub1NG Hight  
		VP #8	IR250616001	16/6	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	590	0	0	0	0	7	0	7	〔fg=#FF0000〕1.2%	
		VP #9	IR250616001	16/6	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	580	0	0	2	0	6	0	8	〔fg=#FF0000〕1.4%	
		〔bg=#FFFF00〕VP #10	〔bg=#FFFF00〕IR250616001	〔bg=#FFFF00〕16/6	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕593	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕18	〔bg=#FFFF00〕0	〔bg=#FFFF00〕19	〔bg=#FFFF00,fg=#FF0000〕3.2%	NG function Hight 
		〔bg=#FFFF00〕VP #11	〔bg=#FFFF00〕IR250616001	〔bg=#FFFF00〕16/6	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕554	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕14	〔bg=#FFFF00〕0	〔bg=#FFFF00〕14	〔bg=#FFFF00,fg=#FF0000〕2.5%	NG function Hight 
7/4/2025	E2-3B	VP #2	IR250703001-00001	3/7	600	0	1	〔fg=#FF0000〕0.2%	2	〔fg=#FF0000〕0.3%	3	〔fg=#FF0000〕0.5%	597	0	0	1	1	5	2	9	〔fg=#FF0000〕1.5%	
		VP #6	IR250703001-00001	3/7	600	0	0	〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	1	〔fg=#FF0000〕0.2%	598	0	0	2	0	7	1	10	〔fg=#FF0000〕1.7%	
		VP #9	IR250703001-00001	3/7	600	0	2	〔fg=#FF0000〕0.3%	3	〔fg=#FF0000〕0.5%	5	〔fg=#FF0000〕0.8%	595	0	0	0	0	8	7	15	〔fg=#FF0000〕2.5%	
		〔bg=#FFFF00,b〕VP #11	〔bg=#FFFF00,b〕IR250703001-00001	〔bg=#FFFF00,b〕3/7	〔bg=#FFFF00,b〕600	〔bg=#FFFF00,b〕0	〔bg=#FFFF00,b〕5	〔bg=#FFFF00,fg=#FF0000,b〕0.8%	〔bg=#FFFF00,b〕1	〔bg=#FFFF00,fg=#FF0000,b〕0.2%	〔bg=#FFFF00,b〕6	〔bg=#FFFF00,fg=#FF0000,b〕1.0%	〔bg=#FFFF00,b〕593	〔bg=#FFFF00,b〕0	〔bg=#FFFF00,b〕0	〔bg=#FFFF00,b〕0	〔bg=#FFFF00,b〕0	〔bg=#FFFF00,b〕7	〔bg=#FFFF00,b〕19	〔bg=#FFFF00,b〕26	〔bg=#FFFF00,fg=#FF0000,b〕4.4%	NG function Hight 
		VP #12	IR250703001-00001	3/7	600	0	7	〔fg=#FF0000〕1.2%	1	〔fg=#FF0000〕0.2%	8	〔fg=#FF0000〕1.3%	591	0	0	0	0	2	5	7	〔fg=#FF0000〕1.2%	
7/4/2025	E2-3A	〔bg=#FFFF00〕VP #2	〔bg=#FFFF00〕IR250630016-00002	〔bg=#FFFF00〕30/6	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00,fg=#FF0000〕0.3%	〔bg=#FFFF00〕1	〔bg=#FFFF00,fg=#FF0000〕0.2%	〔bg=#FFFF00〕3	〔bg=#FFFF00,fg=#FF0000〕0.5%	〔bg=#FFFF00〕598	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕20	〔bg=#FFFF00〕0	〔bg=#FFFF00〕20	〔bg=#FFFF00,fg=#FF0000〕3.3%	NG function Hight 
		VP #3	IR250630016-00002	30/6	600	0	1	〔fg=#FF0000〕0.2%	0	〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	599	0	0	0	0	7	0	7	〔fg=#FF0000〕1.2%	
		〔bg=#FFFF00〕VP #4	〔bg=#FFFF00〕IR250630016-00002	〔bg=#FFFF00〕30/6	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00,fg=#FF0000〕0.3%	〔bg=#FFFF00〕2	〔bg=#FFFF00,fg=#FF0000〕0.3%	〔bg=#FFFF00〕4	〔bg=#FFFF00,fg=#FF0000〕0.7%	〔bg=#FFFF00〕580	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕22	〔bg=#FFFF00〕0	〔bg=#FFFF00〕22	〔bg=#FFFF00,fg=#FF0000〕3.8%	NG function Hight 
		〔bg=#FFFF00〕VP #6	〔bg=#FFFF00〕IR250630016-00002	〔bg=#FFFF00〕30/6	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00,fg=#FF0000〕0.2%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕1	〔bg=#FFFF00,fg=#FF0000〕0.2%	〔bg=#FFFF00〕595	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕29	〔bg=#FFFF00〕0	〔bg=#FFFF00〕29	〔bg=#FFFF00,fg=#FF0000〕4.9%	NG function Hight 
		VP #10	IR250630016-00002	30/6	600	0	3	〔fg=#FF0000〕0.5%	1	〔fg=#FF0000〕0.2%	4	〔fg=#FF0000〕0.7%	600	0	0	0	0	17	0	17	〔fg=#FF0000〕2.8%	
		〔bg=#FFFF00〕VP #11	〔bg=#FFFF00〕IR250630016-00002	〔bg=#FFFF00〕30/6	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕6	〔bg=#FFFF00,fg=#FF0000〕1.0%	〔bg=#FFFF00〕1	〔bg=#FFFF00,fg=#FF0000〕0.2%	〔bg=#FFFF00〕7	〔bg=#FFFF00,fg=#FF0000〕1.2%	〔bg=#FFFF00〕597	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕28	〔bg=#FFFF00〕0	〔bg=#FFFF00〕28	〔bg=#FFFF00,fg=#FF0000〕4.7%	NG function Hight 
		VP #12	IR250630016-00002	30/6	600	0	5	〔fg=#FF0000〕0.8%	0	〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	598	0	0	0	0	18	0	18	〔fg=#FF0000〕3.0%	
7/11/2025	E2-3B	〔bg=#FFFF00〕VP #3	〔bg=#FFFF00〕IR250707008-00002	〔bg=#FFFF00〕7/7	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00,fg=#FF0000〕0.2%	〔bg=#FFFF00〕11	〔bg=#FFFF00,fg=#FF0000〕1.8%	〔bg=#FFFF00〕12	〔bg=#FFFF00,fg=#FF0000〕2.0%	〔bg=#FFFF00〕575	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕3	〔bg=#FFFF00〕0	〔bg=#FFFF00〕13	〔bg=#FFFF00〕7	〔bg=#FFFF00〕23	〔bg=#FFFF00,fg=#FF0000〕4.0%	NG function Hight 
		VP #4	IR250707008-00002	7/7	600	0	3	〔fg=#FF0000〕0.5%	2	〔fg=#FF0000〕0.3%	5	〔fg=#FF0000〕0.8%	580	0	0	0	0	10	5	15	〔fg=#FF0000〕2.6%	
		VP #6	IR250707008-00002	7/7	600	0	4	〔fg=#FF0000〕0.7%	1	〔fg=#FF0000〕0.2%	5	〔fg=#FF0000〕0.8%	578	0	0	2	0	9	6	17	〔fg=#FF0000〕2.9%	
		〔bg=#FFFF00〕VP #7	〔bg=#FFFF00〕IR250707008-00002	〔bg=#FFFF00〕7/7	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕5	〔bg=#FFFF00,fg=#FF0000〕0.8%	〔bg=#FFFF00〕2	〔bg=#FFFF00,fg=#FF0000〕0.3%	〔bg=#FFFF00〕7	〔bg=#FFFF00,fg=#FF0000〕1.2%	〔bg=#FFFF00〕560	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕16	〔bg=#FFFF00〕9	〔bg=#FFFF00〕26	〔bg=#FFFF00,fg=#FF0000〕4.6%	NG function Hight 
		VP #10	IR250707008-00002	7/7	600	0	2	〔fg=#FF0000〕0.3%	2	〔fg=#FF0000〕0.3%	4	〔fg=#FF0000〕0.7%	590	0	0	2	0	11	4	17	〔fg=#FF0000〕2.9%	
		〔bg=#FFFF00〕VP #11	〔bg=#FFFF00〕IR250707008-00002	〔bg=#FFFF00〕7/7	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕8	〔bg=#FFFF00,fg=#FF0000〕1.3%	〔bg=#FFFF00〕2	〔bg=#FFFF00,fg=#FF0000〕0.3%	〔bg=#FFFF00〕10	〔bg=#FFFF00,fg=#FF0000〕1.7%	〔bg=#FFFF00〕595	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕19	〔bg=#FFFF00〕6	〔bg=#FFFF00〕26	〔bg=#FFFF00,fg=#FF0000〕4.4%	NG function Hight 
		VP #12	IR250707008-00002	7/7	600	0	3	〔fg=#FF0000〕0.5%	0	〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	596	0	0	1	0	11	5	17	〔fg=#FF0000〕2.9%	
7/16/2025	E2-3A	〔bg=#FFFF00〕VP #11	〔bg=#FFFF00〕IR250621001-00002	〔bg=#FFFF00〕21/06	〔bg=#FFFF00〕4349	〔bg=#FFFF00〕0		〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕8054	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕17	〔bg=#FFFF00〕6	〔bg=#FFFF00〕125	〔bg=#FFFF00〕88	〔bg=#FFFF00〕236	〔bg=#FFFF00,fg=#FF0000〕2.9%	Các lot same (2.5~3%)
7/16/2025	E2-3B	〔bg=#FFFF00〕VP #11	〔bg=#FFFF00〕IR250621001-00002	〔bg=#FFFF00〕21/06	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0		〔bg=#FFFF00,fg=#FF0000〕0.0%		〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕11919	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕3	〔bg=#FFFF00〕1	〔bg=#FFFF00〕218	〔bg=#FFFF00〕85	〔bg=#FFFF00〕308	〔bg=#FFFF00,fg=#FF0000〕2.6%	Các lot same (2.5~4%)
7/17/2025	E2-3A	〔bg=#FFFF00〕VP #2	〔bg=#FFFF00〕IR250716001-00001	〔bg=#FFFF00〕17/6	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕6	〔bg=#FFFF00,fg=#FF0000〕1.0%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕6	〔bg=#FFFF00,fg=#FF0000〕1.0%	〔bg=#FFFF00〕550	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00〕1	〔bg=#FFFF00〕15	〔bg=#FFFF00〕8	〔bg=#FFFF00〕26	〔bg=#FFFF00,fg=#FF0000〕4.7%	NG function Hight 
		〔bg=#FFFF00〕VP #7	〔bg=#FFFF00〕IR250716001-00001	〔bg=#FFFF00〕17/6	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕4	〔bg=#FFFF00,fg=#FF0000〕0.7%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕4	〔bg=#FFFF00,fg=#FF0000〕0.7%	〔bg=#FFFF00〕554	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00〕0	〔bg=#FFFF00〕26	〔bg=#FFFF00〕7	〔bg=#FFFF00〕35	〔bg=#FFFF00,fg=#FF0000〕6.3%	NG function Hight 
		〔bg=#FFFF00〕VP #9	〔bg=#FFFF00〕IR250716001-00001	〔bg=#FFFF00〕17/6	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕7	〔bg=#FFFF00,fg=#FF0000〕1.2%	〔bg=#FFFF00〕1	〔bg=#FFFF00,fg=#FF0000〕0.2%	〔bg=#FFFF00〕8	〔bg=#FFFF00,fg=#FF0000〕1.3%	〔bg=#FFFF00〕598	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕28	〔bg=#FFFF00〕4	〔bg=#FFFF00〕32	〔bg=#FFFF00,fg=#FF0000〕5.4%	NG function Hight 
		〔bg=#FFFF00〕VP #11	〔bg=#FFFF00〕IR250716001-00001	〔bg=#FFFF00〕17/6	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00,fg=#FF0000〕0.3%	〔bg=#FFFF00〕1	〔bg=#FFFF00,fg=#FF0000〕0.2%	〔bg=#FFFF00〕3	〔bg=#FFFF00,fg=#FF0000〕0.5%	〔bg=#FFFF00〕544	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕17	〔bg=#FFFF00〕8	〔bg=#FFFF00〕25	〔bg=#FFFF00,fg=#FF0000〕4.6%	NG function Hight 
		〔bg=#FFFF00〕VP #12	〔bg=#FFFF00〕IR250716001-00001	〔bg=#FFFF00〕17/6	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00,fg=#FF0000〕0.2%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕1	〔bg=#FFFF00,fg=#FF0000〕0.2%	〔bg=#FFFF00〕587	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕2	〔bg=#FFFF00〕1	〔bg=#FFFF00〕12	〔bg=#FFFF00〕4	〔bg=#FFFF00〕19	〔bg=#FFFF00,fg=#FF0000〕3.2%	NG function Hight 
7/17/2025	E2-3B	〔bg=#FFFF00〕VP #2	〔bg=#FFFF00〕IR250712002-00001	〔bg=#FFFF00〕12/7	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕10	〔bg=#FFFF00,fg=#FF0000〕1.7%	〔bg=#FFFF00〕7	〔bg=#FFFF00,fg=#FF0000〕1.2%	〔bg=#FFFF00〕17	〔bg=#FFFF00,fg=#FF0000〕2.8%	〔bg=#FFFF00〕285	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕6	〔bg=#FFFF00〕6	〔bg=#FFFF00〕12	〔bg=#FFFF00,fg=#FF0000〕4.2%	NG function Hight 
		VP #3	IR250712002-00001	12/7	600	0	7	〔fg=#FF0000〕1.2%	5	〔fg=#FF0000〕0.8%	12	〔fg=#FF0000〕2.0%	580	0	0	0	1	10	5	16	〔fg=#FF0000〕2.8%	
		VP #4	IR250712002-00001	12/7	600	0	5	〔fg=#FF0000〕0.8%	2	〔fg=#FF0000〕0.3%	7	〔fg=#FF0000〕1.2%	584	0	0	0	0	11	4	15	〔fg=#FF0000〕2.6%	
		VP #10	IR250712002-00001	12/7	600	0	8	〔fg=#FF0000〕1.3%	2	〔fg=#FF0000〕0.3%	10	〔fg=#FF0000〕1.7%	585	0	0	0	0	8	6	14	〔fg=#FF0000〕2.4%	
		〔bg=#FFFF00〕VP #11	〔bg=#FFFF00〕IR250712002-00001	〔bg=#FFFF00〕12/7	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕14	〔bg=#FFFF00,fg=#FF0000〕2.3%	〔bg=#FFFF00〕2	〔bg=#FFFF00,fg=#FF0000〕0.3%	〔bg=#FFFF00〕16	〔bg=#FFFF00,fg=#FF0000〕2.7%	〔bg=#FFFF00〕575	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕18	〔bg=#FFFF00〕9	〔bg=#FFFF00〕27	〔bg=#FFFF00,fg=#FF0000〕4.7%	NG function Hight 
		VP #12	IR250712002-00001	12/7	600	0	11	〔fg=#FF0000〕1.8%	0	〔fg=#FF0000〕0.0%	11	〔fg=#FF0000〕1.8%	507	0	0	0	0	9	5	14	〔fg=#FF0000〕2.8%	
7/25/2025	E2-3B	〔bg=#FFFF00〕VP #2	〔bg=#FFFF00〕IR250721007-00002	〔bg=#FFFF00〕21/7	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕8	〔bg=#FFFF00,fg=#FF0000〕1.3%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕8	〔bg=#FFFF00,fg=#FF0000〕1.3%	〔bg=#FFFF00〕586	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕3	〔bg=#FFFF00〕0	〔bg=#FFFF00〕23	〔bg=#FFFF00〕0	〔bg=#FFFF00〕26	〔bg=#FFFF00,fg=#FF0000〕4.4%	NG function Hight 
		VP #3	IR250721007-00002	21/7	600	0	7	〔fg=#FF0000〕1.2%	0	〔fg=#FF0000〕0.0%	7	〔fg=#FF0000〕1.2%	586	0	0	1	0	10	5	16	〔fg=#FF0000〕2.7%	
		VP #6	IR250721007-00002	21/7	600	0	5	〔fg=#FF0000〕0.8%	0	〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	589	0	0	2	0	10	4	16	〔fg=#FF0000〕2.7%	
		VP #7	IR250721007-00002	21/7	600	0	6	〔fg=#FF0000〕1.0%	0	〔fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	592	0	0	3	0	9	5	17	〔fg=#FF0000〕2.9%	
		〔bg=#FFFF00〕VP #8	〔bg=#FFFF00〕IR250721007-00002	〔bg=#FFFF00〕21/7	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕44	〔bg=#FFFF00,fg=#FF0000〕7.3%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕44	〔bg=#FFFF00,fg=#FF0000〕7.3%	〔bg=#FFFF00〕547	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕3	〔bg=#FFFF00〕0	〔bg=#FFFF00〕24	〔bg=#FFFF00〕0	〔bg=#FFFF00〕27	〔bg=#FFFF00,fg=#FF0000〕4.9%	NG function Hight ,NG bending hight 
		VP #10	IR250721007-00002	21/7	600	0	6	〔fg=#FF0000〕1.0%	0	〔fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	588	0	0	0	0	16	0	16	〔fg=#FF0000〕2.7%	
		〔bg=#FFFF00〕VP #11	〔bg=#FFFF00〕IR250721007-00002	〔bg=#FFFF00〕21/7	〔bg=#FFFF00〕600	〔bg=#FFFF00〕0	〔bg=#FFFF00〕13	〔bg=#FFFF00,fg=#FF0000〕2.2%	〔bg=#FFFF00〕0	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00〕13	〔bg=#FFFF00,fg=#FF0000〕2.2%	〔bg=#FFFF00〕580	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕1	〔bg=#FFFF00〕17	〔bg=#FFFF00〕7	〔bg=#FFFF00〕25	〔bg=#FFFF00,fg=#FF0000〕4.3%	NG function Hight 
		VP #12	IR250721007-00002	21/7	600	0	6	〔fg=#FF0000〕1.0%	0	〔fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	595	0	0	0	0	10	6	16	〔fg=#FF0000〕2.7%	
7/30/2025	E2-3B	VP #4	IR250728001-00001	28/7	600	0	14	〔fg=#FF0000〕2.3%	4	〔fg=#FF0000〕0.7%	18	〔fg=#FF0000〕3.0%	570	0	0	0	0	9	0	9	〔fg=#FF0000〕1.6%	
